Tree Node ID,Tree Node Label
magid_3300007650_12,1
magid_3300007654_21,1
magid_3300007657_9,1
magid_3300007659_5,0
magid_3300007660_1,1
magid_3300007662_5,1
magid_3300007664_12,1
magid_3300007666_9,0
magid_3300007669_8,1
magid_3300007705_14,0
magid_3300007711_7,0
magid_3300007713_5,1
magid_3300007714_15,0
magid_3300007717_5,1
magid_3300007724_38,0
magid_3300007728_6,1
magid_3300007732_6,1
magid_3300007736_5,0
magid_3300007742_6,0
magid_3300007746_1,0
magid_3300007753_11,0
magid_3300007774_1,1
magid_3300007780_1,0
magid_3300007781_1,1
magid_3300007782_4,1
magid_3300007783_6,0
magid_3300007786_2,0
magid_3300007787_1,1
magid_3300007791_3,0
magid_3300007792_2,1
magid_3300007793_5,1
magid_3300007794_8,1
magid_3300007795_5,0
magid_3300007796_19,0
magid_3300007797_13,1
magid_3300007798_14,1
magid_3300007800_1,0
magid_3300007801_6,1
magid_3300007802_12,1
magid_3300007803_9,1
magid_3300007804_6,1
magid_3300007805_16,1
magid_3300007806_5,0
magid_3300007825_4,0
magid_3300007826_1,1
magid_3300007838_1,1
magid_3300007841_1,0
magid_3300007843_1,1
magid_3300007853_2,1
magid_3300007855_1,1
magid_3300007859_1,1
magid_3300007866_1,0
magid_3300007868_2,0
magid_3300007869_1,1
magid_3300007874_2,0
magid_3300007878_3,0
magid_3300007883_1,0
magid_3300007884_1,0
magid_3300007888_2,0
magid_3300007892_1,0
magid_3300007897_2,0
magid_3300007903_1,1
magid_3300007912_3,0
magid_3300007915_3,1
magid_3300007916_1,1
magid_3300007919_1,1
magid_3300007921_6,0
magid_3300007924_20,1
magid_3300007925_5,0
magid_3300007928_1,1
magid_3300007929_1,1
magid_3300007931_5,0
magid_3300007932_5,0
magid_3300007934_1,1
magid_3300007936_1,1
magid_3300007940_11,0
magid_3300007942_4,0
magid_3300007943_4,0
magid_3300007946_2,0
magid_3300007949_2,1
magid_3300007950_5,0
magid_3300007966_22,0
magid_3300007968_7,1
magid_3300007969_2,1
magid_3300007975_1,1
magid_3300007976_20,1
magid_3300007977_5,0
magid_3300007978_11,0
magid_3300007979_15,0
magid_3300007980_4,0
magid_3300007991_24,1
magid_3300007993_7,0
magid_3300007994_5,0
magid_3300007996_9,1
magid_3300007997_13,1
magid_3300008056_2,1
magid_3300008057_1,1
magid_3300008058_7,0
magid_3300008059_2,0
magid_3300008060_3,0
magid_3300008061_2,1
magid_3300008063_2,0
magid_3300008068_1,1
magid_3300008073_3,0
magid_3300008074_6,0
magid_3300008075_3,1
magid_3300008077_14,1
magid_3300008078_7,0
magid_3300008079_7,1
magid_3300008080_13,0
magid_3300008081_21,1
magid_3300008082_9,0
magid_3300008083_5,1
magid_3300008089_8,0
magid_3300008090_6,1
magid_3300008091_27,0
magid_3300008096_19,0
magid_3300008098_26,0
magid_3300008099_3,1
magid_3300008100_12,1
magid_3300008101_41,0
magid_3300008102_3,0
magid_3300008103_22,1
magid_3300008104_3,0
magid_3300008123_29,0
magid_3300008124_1,1
magid_3300008125_24,0
magid_3300008126_17,0
magid_3300008127_6,0
magid_3300008128_1,0
magid_3300008129_11,0
magid_3300008130_17,0
magid_3300008131_3,0
magid_3300008132_14,1
magid_3300008133_14,0
